PadID	Sector	Row  PadInRow     gCenX       gCenZ       gx[0]       gz[0]       gx[1]       gz[1]       gx[2]       gz[2]       gx[3]       gz[3]       lCenX       lCenZ       lx[0]       lz[0]       lx[1]       lz[1]       lx[2]       lz[2]       lx[3]       lz[3]
33	0	0        33      10.715     -41.035          10     -40.399       11.43     -41.171       11.43    -41.7044          10    -40.8656      41.035      10.715      40.399          10      41.171       11.43     41.7044       11.43     40.8656          10
34	0	0        34      10.715     -41.535          10    -40.8656       11.43    -41.7044       11.43    -42.2378          10    -41.3322      41.535      10.715     40.8656          10     41.7044       11.43     42.2378       11.43     41.3322          10
35	0	0        35      10.715     -42.035          10    -41.3322       11.43    -42.2378       11.43    -42.7711          10    -41.7989      42.035      10.715     41.3322          10     42.2378       11.43     42.7711       11.43     41.7989          10
36	0	0        36      10.715     -42.535          10    -41.7989       11.43    -42.7711       11.43    -43.3045          10    -42.2655      42.535      10.715     41.7989          10     42.7711       11.43     43.3045       11.43     42.2655          10
37	0	0        37      10.715     -43.035          10    -42.2655       11.43    -43.3045       11.43    -43.8378          10    -42.7322      43.035      10.715     42.2655          10     43.3045       11.43     43.8378       11.43     42.7322          10
38	0	0        38      10.715     -43.535          10    -42.7322       11.43    -43.8378       11.43    -44.3712          10    -43.1988      43.535      10.715     42.7322          10     43.8378       11.43     44.3712       11.43     43.1988          10
39	0	0        39      10.715     -44.035          10    -43.1988       11.43    -44.3712       11.43    -44.9046          10    -43.6654      44.035      10.715     43.1988          10     44.3712       11.43     44.9046       11.43     43.6654          10
40	0	0        40      10.715     -44.535          10    -43.6654       11.43    -44.9046       11.43    -45.4379          10    -44.1321      44.535      10.715     43.6654          10     44.9046       11.43     45.4379       11.43     44.1321          10
41	0	1         0      12.145     -23.105       11.43      -23.57       12.86      -22.14       12.86    -22.6694       11.43    -24.0406      23.105      12.145       23.57       11.43       22.14       12.86     22.6694       12.86     24.0406       11.43
42	0	1         1      12.145     -23.605       11.43    -24.0406       12.86    -22.6694       12.86    -23.1989       11.43    -24.5111      23.605      12.145     24.0406       11.43     22.6694       12.86     23.1989       12.86     24.5111       11.43
43	0	1         2      12.145     -24.105       11.43    -24.5111       12.86    -23.1989       12.86    -23.7283       11.43    -24.9817      24.105      12.145     24.5111       11.43     23.1989       12.86     23.7283       12.86     24.9817       11.43
44	0	1         3      12.145     -24.605       11.43    -24.9817       12.86    -23.7283       12.86    -24.2577       11.43    -25.4523      24.605      12.145     24.9817       11.43     23.7283       12.86     24.2577       12.86     25.4523       11.43
45	0	1         4      12.145     -25.105       11.43    -25.4523       12.86    -24.2577       12.86    -24.7872       11.43    -25.9228      25.105      12.145     25.4523       11.43     24.2577       12.86     24.7872       12.86     25.9228       11.43
46	0	1         5      12.145     -25.605       11.43    -25.9228       12.86    -24.7872       12.86    -25.3166       11.43    -26.3934      25.605      12.145     25.9228       11.43     24.7872       12.86     25.3166       12.86     26.3934       11.43
47	0	1         6      12.145     -26.105       11.43    -26.3934       12.86    -25.3166       12.86    -25.8461       11.43    -26.8639      26.105      12.145     26.3934       11.43     25.3166       12.86     25.8461       12.86     26.8639       11.43
48	0	1         7      12.145     -26.605       11.43    -26.8639       12.86    -25.8461       12.86    -26.3755       11.43    -27.3345      26.605      12.145     26.8639       11.43     25.8461       12.86     26.3755       12.86     27.3345       11.43
49	0	1         8      12.145     -27.105       11.43    -27.3345       12.86    -26.3755       12.86    -26.9049       11.43    -27.8051      27.105      12.145     27.3345       11.43     26.3755       12.86     26.9049       12.86     27.8051       11.43
50	0	1         9      12.145     -27.605       11.43    -27.8051       12.86    -26.9049       12.86    -27.4344       11.43    -28.2756      27.605      12.145     27.8051       11.43     26.9049       12.86     27.4344       12.86     28.2756       11.43
51	0	1        10      12.145     -28.105       11.43    -28.2756       12.86    -27.4344       12.86    -27.9638       11.43    -28.7462      28.105      12.145     28.2756       11.43     27.4344       12.86     27.9638       12.86     28.7462       11.43
52	0	1        11      12.145     -28.605       11.43    -28.7462       12.86    -27.9638       12.86    -28.4932       11.43    -29.2168      28.605      12.145     28.7462       11.43     27.9638       12.86     28.4932       12.86     29.2168       11.43
53	0	1        12      12.145     -29.105       11.43    -29.2168       12.86    -28.4932       12.86    -29.0227       11.43    -29.6873      29.105      12.145     29.2168       11.43     28.4932       12.86     29.0227       12.86     29.6873       11.43
54	0	1        13      12.145     -29.605       11.43    -29.6873       12.86    -29.0227       12.86    -29.5521       11.43    -30.1579      29.605      12.145     29.6873       11.43     29.0227       12.86     29.5521       12.86     30.1579       11.43
55	0	1        14      12.145     -30.105       11.43    -30.1579       12.86    -29.5521       12.86    -30.0815       11.43    -30.6285      30.105      12.145     30.1579       11.43     29.5521       12.86     30.0815       12.86     30.6285       11.43
56	0	1        15      12.145     -30.605       11.43    -30.6285       12.86    -30.0815       12.86     -30.611       11.43     -31.099      30.605      12.145     30.6285       11.43     30.0815       12.86      30.611       12.86      31.099       11.43
57	0	1        16      12.145     -31.105       11.43     -31.099       12.86     -30.611       12.86    -31.1404       11.43    -31.5696      31.105      12.145      31.099       11.43      30.611       12.86     31.1404       12.86     31.5696       11.43
58	0	1        17      12.145     -31.605       11.43    -31.5696       12.86    -31.1404       12.86    -31.6698       11.43    -32.0402      31.605      12.145     31.5696       11.43     31.1404       12.86     31.6698       12.86     32.0402       11.43
